index,round,id,HH_
0,0,0,1.0
1,0,1,1.0
2,1,1,2.0
3,1,0,2.0
4,2,0,3.0
5,2,1,3.0
6,3,0,4.0
7,3,1,4.0
8,4,0,5.0
9,4,1,5.0
10,5,0,6.0
11,5,1,6.0
12,6,0,7.0
13,6,1,7.0
14,7,0,8.0
15,7,1,8.0
16,8,1,9.0
17,8,0,9.0
18,9,0,10.0
19,9,1,10.0
20,10,0,11.0
21,10,1,11.0
22,11,0,12.0
23,11,1,12.0
24,12,1,13.0
25,12,0,13.0
26,13,0,14.0
27,13,1,14.0
28,14,0,15.0
29,14,1,15.0
30,15,0,16.0
31,15,1,16.0
32,16,0,17.0
33,16,1,17.0
34,17,0,18.0
35,17,1,18.0
36,18,1,19.0
37,18,0,19.0
38,19,1,20.0
39,19,0,20.0
40,20,0,21.0
41,20,1,21.0
42,21,0,22.0
43,21,1,22.0
44,22,1,23.0
45,22,0,23.0
46,23,1,24.0
47,23,0,24.0
48,24,0,25.0
49,24,1,25.0
50,25,1,26.0
51,25,0,26.0
52,26,0,27.0
53,26,1,27.0
54,27,1,28.0
55,27,0,28.0
56,28,0,29.0
57,28,1,29.0
58,29,1,30.0
59,29,0,30.0
60,30,0,31.0
61,30,1,31.0
62,31,1,32.0
63,31,0,32.0
64,32,1,33.0
65,32,0,33.0
66,33,0,34.0
67,33,1,34.0
68,34,0,35.0
69,34,1,35.0
70,35,0,36.0
71,35,1,36.0
72,36,0,37.0
73,36,1,37.0
74,37,1,38.0
75,37,0,38.0
76,38,1,39.0
77,38,0,39.0
78,39,1,40.0
79,39,0,40.0
