index,round,id,HH_
0,0,0,1.0
1,1,1,2.0
2,1,0,2.0
3,2,1,3.0
4,2,0,3.0
5,3,1,4.0
6,3,0,4.0
7,4,1,5.0
8,4,0,5.0
9,5,1,6.0
10,5,0,6.0
11,6,1,7.0
12,6,0,7.0
13,7,0,8.0
14,7,1,8.0
15,8,0,9.0
16,8,1,9.0
17,9,1,10.0
18,9,0,10.0
19,10,0,11.0
20,10,1,11.0
21,11,1,12.0
22,11,0,12.0
23,12,0,13.0
24,12,1,13.0
25,13,1,14.0
26,13,0,14.0
27,14,0,15.0
28,14,1,15.0
29,15,0,16.0
30,15,1,16.0
31,16,1,17.0
32,16,0,17.0
33,17,1,18.0
34,17,0,18.0
35,18,0,19.0
36,18,1,19.0
37,19,0,20.0
38,19,1,20.0
39,20,1,21.0
40,20,0,21.0
41,21,0,22.0
42,21,1,22.0
43,22,0,23.0
44,22,1,23.0
45,23,1,24.0
46,23,0,24.0
47,24,0,25.0
48,24,1,25.0
49,25,0,26.0
50,25,1,26.0
51,26,0,27.0
52,26,1,27.0
53,27,1,28.0
54,27,0,28.0
55,28,0,29.0
56,28,1,29.0
57,29,0,30.0
58,29,1,30.0
59,30,1,31.0
60,30,0,31.0
61,31,1,32.0
62,31,0,32.0
63,32,1,33.0
64,32,0,33.0
65,33,0,34.0
66,33,1,34.0
67,34,1,35.0
68,34,0,35.0
69,35,1,36.0
70,35,0,36.0
71,36,1,37.0
72,36,0,37.0
73,37,1,38.0
74,37,0,38.0
75,38,0,39.0
76,38,1,39.0
77,39,0,40.0
78,39,1,40.0
