index,col,ele,gas,o_g,oil,eis,trn,roe,lab,cap,hoh,inv,nx,tax,sum
col,0.243,1.448,0.004,0,0.001,0.219,0.013,0.238,,,0.014,0,0.108,,2.288
ele,0.052,0.084,0.027,0.118,0.168,1.384,0.283,9.53,,,12.915,0,-0.093,,24.468
gas,0.003,0.526,2.283,0.446,0.246,0.817,0.056,2.199,,,4.136,0,0.045,,10.757
o_g,0,0.024,4.795,2.675,8.381,0.939,0.03,0.12,,,0.013,0.072,-6.189,,10.86
oil,0.066,0.238,0.038,0.072,1.753,0.628,2.428,4.95,,,8.345,0.128,-0.542,,18.104
eis,0.101,0.121,0.015,0.285,0.513,17.434,0.177,47.534,,,9.239,0.906,-3.506,,72.819
trn,0.158,0.945,0.135,0.122,0.784,3.548,9.796,19.835,,,17.316,1.492,5.107,,59.238
roe,0.747,5.142,1.897,4.694,2.798,19.974,16.055,540.977,,,751.254,203.063,-21.406,,1525.195
lab,0.437,4.422,0.434,0.665,1.141,16.128,19.032,553.948,,,,,,,596.207
cap,0.278,8.83,0.866,1.525,2.115,10.806,9.792,310.641,,,,,,,344.853
hoh,,,,,,,,,596.207,344.853,,,26.476,41.357,1008.893
inv,,,,,,,,,,,205.661,,,,205.661
nx,,,,,,,,,,,,,,,0
tax,0.203,2.686,0.263,0.258,0.204,0.944,1.574,35.225,,,,,,,41.357
sum,2.288,24.466,10.757,10.86,18.104,72.821,59.236,1525.197,596.207,344.853,1008.893,205.661,0,41.357,
